,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT1G08170,0,0,0,0
AT1G08180,1,0,0,3
AT1G08190,278,133,103,152
AT1G08200,1103,951,578,532
AT1G08210,37,34,1,38
AT1G08220,24,3,0,10
AT1G08230,28,11,102,31
AT1G08240,0,0,0,0
AT1G08250,14,74,0,1
AT1G08260,87,3,13,5
AT1G08270,14,0,3,0
AT1G08280,2,2,6,2
AT1G08290,17,0,42,0
AT1G08300,441,256,118,38
AT1G08310,158,182,1,12
AT1G08315,59,51,229,61
AT1G08320,0,0,0,0
AT1G08340,0,0,0,0
AT1G08350,67,6,0,1
AT1G08360,865,178,75,86
AT1G08370,213,176,378,193
AT1G08380,4997,3337,32,71
AT1G08390,9,8,1,0
AT1G08400,3,3,5,10
AT1G08410,19,12,0,53
AT1G08420,59,70,104,191
AT1G08430,2,0,0,0
AT1G08440,0,0,0,0
AT1G08450,123,108,69,72
AT1G08460,44,7,0,1
AT1G08465,7,4,18,6
AT1G08470,66,24,29,13
AT1G08480,93,20,43,124
AT1G08490,132,55,162,72
AT1G08500,0,0,0,0
AT1G08510,494,215,1405,933
AT1G08520,2201,1606,57,240
AT1G08530,6,13,15,4
AT1G08540,360,250,1,54
AT1G08550,81,116,38,38
AT1G08560,41,44,95,32
AT1G08570,702,356,301,1662
AT1G08580,5,2,28,30
AT1G08590,30,6,1,103
AT1G08592,35,10,0,73
AT1G08600,106,26,555,249
AT1G08610,4,8,0,1
AT1G08620,172,100,739,418
AT1G08630,162,28,22,76
AT1G08640,80,35,40,62
AT1G08650,11,124,0,40
AT1G08660,71,15,0,12
AT1G08670,0,0,0,0
AT1G08680,342,198,653,371
AT1G08695,0,0,0,0
AT1G08700,5,1004,2,6
AT1G08710,36,50,65,86
AT1G08720,732,473,94,295
AT1G08730,151,45,0,4
AT1G08750,16,27,18,1
AT1G08760,62,31,2,128
AT1G08770,13,4,217,2
AT1G08780,25,14,12,3
AT1G08790,0,0,0,0
AT1G08800,100,73,727,82
AT1G08810,5,17,66,112
AT1G08820,122,63,73,228
AT1G08830,152,254,1588,2043
AT1G08840,41,74,1089,996
AT1G08845,5,9,0,15
AT1G08860,1,1,0,2
AT1G08870,0,0,0,0
AT1G08880,16,8,177,85
AT1G08890,11,1,32,16
AT1G08900,8,56,9,6
AT1G08910,218,151,3,81
AT1G08920,40,11,6,11
AT1G08930,1126,690,165,150
AT1G08940,60,31,263,32
AT1G08950,0,0,0,0
AT1G08960,48,35,4,17
AT1G08970,2,25,46,5
AT1G08980,101,65,113,109
AT1G08985,0,0,0,0
AT1G08990,0,0,0,0
AT1G09000,0,0,47,0
AT1G09010,327,136,110,121
AT1G09020,113,21,142,108
AT1G09026,0,0,0,0
AT1G09030,0,0,0,0
AT1G09040,0,1,1,0
AT1G09050,35,2,0,12
AT1G09060,261,488,176,103
AT1G09070,10209,6609,4937,4734
AT1G09080,76,17,3,9
AT1G09090,8,1,0,0
AT1G09100,35,6,6,16
AT1G09110,0,0,0,0
AT1G09130,482,362,257,202
AT1G09140,2051,1031,2219,4742
AT1G09150,36,40,9,5
AT1G09155,0,0,0,0
AT1G09157,15,0,0,0
AT1G09160,79,41,175,28
AT1G09170,0,0,0,0
AT1G09176,1,0,0,0
AT1G09180,0,0,0,0
